id,label,URL,genreId
1,Radio Bloodstream,http://uk1.internet-radio.com:8294/live,1
2,CLASSIC METAL RADIO,http://204.187.100.18:2280,1
3,TOPBLUES,http://us3.internet-radio.com:8342,2
4,Blues Radio,http://95.217.68.35:8352,2
